event,timestamp_ns
pattern_start,1756724544361797000
fixation_start,1756724544851237000
fixation_end,1756724546852829000
fixation_start,1756724547322058000
fixation_end,1756724549323448000
fixation_start,1756724549775388000
fixation_end,1756724551776738000
fixation_start,1756724552247962000
fixation_end,1756724554248370000
fixation_start,1756724554729876000
fixation_end,1756724556731197000
fixation_start,1756724557209887000
fixation_end,1756724559211189000
fixation_start,1756724559690536000
fixation_end,1756724561691826000
fixation_start,1756724562148044000
fixation_end,1756724564149302000
fixation_start,1756724564627144000
fixation_end,1756724566628428000
fixation_start,1756724567103347000
fixation_end,1756724569104629000
pattern_end,1756724571106170000
