event,timestamp_ns
pattern_start,1756724512531886000
fixation_start,1756724513014523000
fixation_end,1756724515017152000
fixation_start,1756724515501810000
fixation_end,1756724517504242000
fixation_start,1756724517995219000
fixation_end,1756724519997461000
fixation_start,1756724520478013000
fixation_end,1756724522480070000
fixation_start,1756724522935141000
fixation_end,1756724524937042000
fixation_start,1756724525406276000
fixation_end,1756724527408096000
fixation_start,1756724527873956000
fixation_end,1756724529875709000
fixation_start,1756724530360222000
fixation_end,1756724532361838000
fixation_start,1756724532851616000
fixation_end,1756724534853231000
pattern_end,1756724536855052000
