event,timestamp_ns
pattern_start,1756724575960339000
fixation_start,1756724576434597000
fixation_end,1756724578435748000
fixation_start,1756724578871119000
fixation_end,1756724580872363000
fixation_start,1756724581357540000
fixation_end,1756724583358793000
fixation_start,1756724583837660000
fixation_end,1756724585838883000
fixation_start,1756724586320110000
fixation_end,1756724588321314000
fixation_start,1756724588791173000
fixation_end,1756724590792313000
fixation_start,1756724591231348000
fixation_end,1756724593232541000
fixation_start,1756724593712290000
fixation_end,1756724595713476000
fixation_start,1756724596192930000
fixation_end,1756724598194137000
fixation_start,1756724598671154000
fixation_end,1756724600671929000
pattern_end,1756724602673215000
